Start (s),End (s),Scientific name,Common name,Confidence,File
6.0,9.0,Corvus brachyrhynchos,American Crow,0.3668,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260325_180100.wav
18.0,21.0,Corvus brachyrhynchos,American Crow,0.3106,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260325_180100.wav
24.0,27.0,Corvus brachyrhynchos,American Crow,0.5435,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260325_180100.wav
27.0,30.0,Corvus brachyrhynchos,American Crow,0.4370,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260325_180100.wav
33.0,36.0,Corvus brachyrhynchos,American Crow,0.6575,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260325_180100.wav
39.0,42.0,Corvus brachyrhynchos,American Crow,0.4873,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260325_180100.wav
42.0,45.0,Corvus brachyrhynchos,American Crow,0.9530,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260325_180100.wav
48.0,51.0,Corvus brachyrhynchos,American Crow,0.2782,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260325_180100.wav
51.0,54.0,Corvus brachyrhynchos,American Crow,0.5000,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260325_180100.wav
57.0,60.0,Corvus brachyrhynchos,American Crow,0.6875,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260325_180100.wav
63.0,66.0,Corvus brachyrhynchos,American Crow,0.2736,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260325_180100.wav
66.0,69.0,Corvus brachyrhynchos,American Crow,0.5107,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260325_180100.wav
75.0,78.0,Corvus brachyrhynchos,American Crow,0.4102,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260325_180100.wav
156.0,159.0,Corvus brachyrhynchos,American Crow,0.4622,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260325_180100.wav
183.0,186.0,Strix varia,Barred Owl,0.5367,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260325_180100.wav
213.0,216.0,Corvus brachyrhynchos,American Crow,0.4075,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260325_180100.wav
