"","Plot","Plot.Type","Date","Rec.Hour","Rec.Min","Start.sec","End.sec","Common.name","Confidence","Latin.name","class","order","File","Threshold"
"1","RE03","RE","2026-03-21",0,56,72,75,"Brimley's Chorus Frog",0.4425,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260321_005600.wav",0.25
"2","RE03","RE","2026-03-21",1,56,222,225,"Brimley's Chorus Frog",0.2763,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260321_015600.wav",0.25
"3","RE03","RE","2026-03-21",1,56,240,243,"Brimley's Chorus Frog",0.5711,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260321_015600.wav",0.25
"4","RE03","RE","2026-03-21",1,56,243,246,"Brimley's Chorus Frog",0.37,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260321_015600.wav",0.25
"5","RE03","RE","2026-03-21",2,56,225,228,"Brimley's Chorus Frog",0.2828,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260321_025600.wav",0.25
"6","RE03","RE","2026-03-21",2,56,243,246,"Brimley's Chorus Frog",0.4305,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260321_025600.wav",0.25
"7","RE03","RE","2026-03-21",2,56,246,249,"Brimley's Chorus Frog",0.777,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260321_025600.wav",0.25
"8","RE03","RE","2026-03-21",18,57,177,180,"Brimley's Chorus Frog",0.3679,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260321_185700.wav",0.25
"9","RE03","RE","2026-03-21",18,57,246,249,"Brimley's Chorus Frog",0.3363,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260321_185700.wav",0.25
"10","RE03","RE","2026-03-21",20,57,51,54,"Brimley's Chorus Frog",0.2973,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260321_205700.wav",0.25
"11","RE03","RE","2026-03-21",20,57,216,219,"Brimley's Chorus Frog",0.3146,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260321_205700.wav",0.25
"12","RE03","RE","2026-03-21",23,57,264,267,"Brimley's Chorus Frog",0.2948,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260321_235700.wav",0.25
"13","RE03","RE","2026-03-21",23,57,279,282,"Brimley's Chorus Frog",0.2642,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260321_235700.wav",0.25
"14","RE03","RE","2026-03-21",23,57,282,285,"Brimley's Chorus Frog",0.3019,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260321_235700.wav",0.25
"15","RE03","RE","2026-03-23",21,59,255,258,"Brimley's Chorus Frog",0.6006,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260323_215900.wav",0.25
"16","RE03","RE","2026-03-23",21,59,261,264,"Brimley's Chorus Frog",0.5705,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260323_215900.wav",0.25
"17","RE03","RE","2026-03-23",21,59,282,285,"Brimley's Chorus Frog",0.3064,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260323_215900.wav",0.25
"18","RE03","RE","2026-03-23",23,59,288,291,"Brimley's Chorus Frog",0.2685,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260323_235900.wav",0.25
"19","RE03","RE","2026-03-23",23,59,291,294,"Brimley's Chorus Frog",0.2631,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260323_235900.wav",0.25
"20","RE03","RE","2026-03-23",23,59,297,300,"Brimley's Chorus Frog",0.2765,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE03\SMM2-19_20260323_235900.wav",0.25
"21","RE06","RE","2026-03-15",0,51,48,51,"Brimley's Chorus Frog",0.3167,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_005100.wav",0.25
"22","RE06","RE","2026-03-15",0,51,57,60,"Brimley's Chorus Frog",0.4649,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_005100.wav",0.25
"23","RE06","RE","2026-03-15",0,51,69,72,"Brimley's Chorus Frog",0.3666,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_005100.wav",0.25
"24","RE06","RE","2026-03-15",0,51,267,270,"Brimley's Chorus Frog",0.2857,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_005100.wav",0.25
"25","RE06","RE","2026-03-15",1,51,3,6,"Brimley's Chorus Frog",0.4665,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"26","RE06","RE","2026-03-15",1,51,6,9,"Brimley's Chorus Frog",0.6867,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"27","RE06","RE","2026-03-15",1,51,9,12,"Brimley's Chorus Frog",0.2858,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"28","RE06","RE","2026-03-15",1,51,12,15,"Brimley's Chorus Frog",0.7703,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"29","RE06","RE","2026-03-15",1,51,15,18,"Brimley's Chorus Frog",0.6897,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"30","RE06","RE","2026-03-15",1,51,18,21,"Brimley's Chorus Frog",0.2597,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"31","RE06","RE","2026-03-15",1,51,21,24,"Brimley's Chorus Frog",0.5311,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"32","RE06","RE","2026-03-15",1,51,24,27,"Brimley's Chorus Frog",0.4776,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"33","RE06","RE","2026-03-15",1,51,30,33,"Brimley's Chorus Frog",0.2726,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"34","RE06","RE","2026-03-15",1,51,33,36,"Brimley's Chorus Frog",0.8582,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"35","RE06","RE","2026-03-15",1,51,66,69,"Brimley's Chorus Frog",0.687,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"36","RE06","RE","2026-03-15",1,51,75,78,"Brimley's Chorus Frog",0.4083,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"37","RE06","RE","2026-03-15",1,51,78,81,"Brimley's Chorus Frog",0.5211,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"38","RE06","RE","2026-03-15",1,51,81,84,"Brimley's Chorus Frog",0.4751,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"39","RE06","RE","2026-03-15",1,51,84,87,"Brimley's Chorus Frog",0.7869,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"40","RE06","RE","2026-03-15",1,51,90,93,"Brimley's Chorus Frog",0.3369,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"41","RE06","RE","2026-03-15",1,51,93,96,"Brimley's Chorus Frog",0.327,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"42","RE06","RE","2026-03-15",1,51,141,144,"Brimley's Chorus Frog",0.4148,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_015100.wav",0.25
"43","RE06","RE","2026-03-15",22,52,27,30,"Brimley's Chorus Frog",0.3069,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_225200.wav",0.25
"44","RE06","RE","2026-03-15",22,52,60,63,"Brimley's Chorus Frog",0.5222,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_225200.wav",0.25
"45","RE06","RE","2026-03-15",22,52,108,111,"Brimley's Chorus Frog",0.3758,"Pseudacris brimleyi","Amphibia","Anura","D:\Subsetted_ARU_Data\RE06\SMM2-17_20260315_225200.wav",0.25
