Start (s),End (s),Scientific name,Common name,Confidence,File
6.0,9.0,Geothlypis trichas,Common Yellowthroat,0.3738,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
24.0,27.0,Geothlypis trichas,Common Yellowthroat,0.3128,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
30.0,33.0,Geothlypis trichas,Common Yellowthroat,0.2869,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
36.0,39.0,Antrostomus carolinensis,Chuck-will's-widow,0.4578,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
39.0,42.0,Spizella pusilla,Field Sparrow,0.4605,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
66.0,69.0,Spizella pusilla,Field Sparrow,0.3683,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
72.0,75.0,Antrostomus carolinensis,Chuck-will's-widow,0.7076,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
87.0,90.0,Spizella pusilla,Field Sparrow,0.4117,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
90.0,93.0,Spizella pusilla,Field Sparrow,0.3828,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
93.0,96.0,Dog,Dog,0.3925,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
108.0,111.0,Dog,Dog,0.2735,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
129.0,132.0,Dog,Dog,0.4487,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
132.0,135.0,Spizella pusilla,Field Sparrow,0.4978,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
141.0,144.0,Antrostomus carolinensis,Chuck-will's-widow,0.5805,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
147.0,150.0,Antrostomus carolinensis,Chuck-will's-widow,0.2914,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
153.0,156.0,Geothlypis trichas,Common Yellowthroat,0.3106,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
156.0,159.0,Dog,Dog,0.2847,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
171.0,174.0,Spizella pusilla,Field Sparrow,0.5865,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
198.0,201.0,Spizella pusilla,Field Sparrow,0.4865,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
213.0,216.0,Spizella pusilla,Field Sparrow,0.4473,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
252.0,255.0,Spizella pusilla,Field Sparrow,0.2910,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
255.0,258.0,Spizella pusilla,Field Sparrow,0.3792,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
261.0,264.0,Spizella pusilla,Field Sparrow,0.5470,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
273.0,276.0,Dog,Dog,0.3107,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
279.0,282.0,Strix varia,Barred Owl,0.4825,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260404_050800.wav
