Plot,Plot.Type,y,x
IF01,Interor Forest,36.13051,-76.54704
IF02,Interor Forest,36.16337,-76.52563
IF03,Interor Forest,36.14274,-76.57095
IF04,Interor Forest,36.16201,-76.51594
IF05,Interor Forest,36.15394,-76.51158
IF06,Interor Forest,36.14648,-76.54578
IF07,Interor Forest,36.14658,-76.56274
IF08,Interor Forest,36.13166,-76.56243
IF09,Interor Forest,36.16352,-76.53577
RE01,Reference Edge,36.14607,-76.49314
RE02,Reference Edge,36.14847,-76.52989
RE03,Reference Edge,36.1369,-76.53149
RE04,Reference Edge,36.1441,-76.53487
RE05,Reference Edge,36.14177,-76.51705
RE06,Reference Edge,36.14434,-76.50294
RE07,Reference Edge,36.14101,-76.4939
RE08,Reference Edge,36.15331,-76.49445
RE09,Reference Edge,36.17043,-76.52644
TE01,Turbine Edge,36.14489,-76.60043
TE02,Turbine Edge,36.1469,-76.60591
TE03,Turbine Edge,36.14878,-76.59934
TE04,Turbine Edge,36.16322,-76.58352
TE05,Turbine Edge,36.1493,-76.58969
TE06,Turbine Edge,36.14935,-76.58263
TE07,Turbine Edge,36.13465,-76.58806
TE08,Turbine Edge,36.15675,-76.59859
TE09,Turbine Edge,36.13631,-76.59286
TE10,Turbine Edge,36.15204,-76.60902
TE11,Turbine Edge,36.15632,-76.58316
TE12,Turbine Edge,36.16421,-76.59756
TE13,Turbine Edge,36.13573,-76.5825
TE14,Turbine Edge,36.14515,-76.58186
TE15,Turbine Edge,36.15167,-76.61751
TE16,Turbine Edge,36.16351,-76.5906
