"rowid","Plot","Plot.Type","Date","Rec.Hour","Rec.Min","Start.sec","End.sec","Common.name","Confidence","Latin.name","class","order","File","Week","True.Positive","New.File"
1,"IF06","IF","20260429",4,55,1050,1053,"Acadian Flycatcher",0.4838,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF06\SMM2-31_20260429_045500.wav",17,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-31_20260429_045500_001_C48.wav"
2,"IF09","IF","20260425",4,59,1506,1509,"Acadian Flycatcher",0.7449,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260425_045900.wav",17,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-34_20260425_045900_001_C74.wav"
3,"IF01","IF","20260420",5,5,1563,1566,"Acadian Flycatcher",0.4819,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260420_050500.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-27_20260420_050500_001_C48.wav"
4,"IF09","IF","20260423",6,2,876,879,"Acadian Flycatcher",0.3748,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260423_060202.wav",17,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-34_20260423_060202_001_C37.wav"
5,"TO04","TO","20260308",4,59,0,3,"Acadian Flycatcher",0.414,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO04\SMM2-04_20260308_045902.wav",10,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-04_20260308_045902_001_C41.wav"
6,"IF03","IF","20260417",6,9,2583,2586,"Acadian Flycatcher",0.2728,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_001_C27.wav"
7,"TO02","TO","20260320",5,48,1704,1707,"Acadian Flycatcher",0.3559,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO02\SMM2-02_20260320_054800.wav",12,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-02_20260320_054800_001_C36.wav"
8,"IF01","IF","20260414",6,13,3507,3510,"Acadian Flycatcher",0.3609,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260414_061302.wav",15,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-27_20260414_061302_001_C36.wav"
9,"TO04","TO","20260303",10,59,2370,2373,"Acadian Flycatcher",0.2887,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\TO04\SMM2-04_20260303_105902.wav",9,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-04_20260303_105902_001_C29.wav"
10,"IF03","IF","20260417",6,9,660,663,"Acadian Flycatcher",0.3199,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_001_C32.wav"
11,"IF09","IF","20260425",4,59,1518,1521,"Acadian Flycatcher",0.9082,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF09\SMM2-34_20260425_045900.wav",17,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-34_20260425_045900_001_C91.wav"
12,"IF03","IF","20260417",6,9,1755,1758,"Acadian Flycatcher",0.4405,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_001_C44.wav"
13,"IF03","IF","20260421",6,4,1389,1392,"Acadian Flycatcher",0.6127,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260421_060402.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260421_060402_001_C61.wav"
14,"IF03","IF","20260417",6,9,1794,1797,"Acadian Flycatcher",0.2553,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260417_060902.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260417_060902_001_C26.wav"
15,"IF03","IF","20260421",6,4,1443,1446,"Acadian Flycatcher",0.946,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF03\SMM2-28_20260421_060402.wav",16,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-28_20260421_060402_001_C95.wav"
16,"IF01","IF","20260414",6,13,3582,3585,"Acadian Flycatcher",0.2982,"Empidonax virescens","Aves","Passeriformes","D:\Subsetted_ARU_Data\IF01\SMM2-27_20260414_061302.wav",15,NA,"D:/BirdNet_Validations/Acadian_Flycatcher/SMM2-27_20260414_061302_001_C30.wav"
