Archilochus colubris_Ruby-throated Hummingbird
Antrostomus carolinensis_Chuck-will's-widow
Antrostomus vociferus_Eastern Whip-poor-will
Zenaida macroura_Mourning Dove
Coccyzus americanus_Yellow-billed Cuckoo
Colinus virginianus_Northern Bobwhite
Cardinalis cardinalis_Northern Cardinal
Passerina caerulea_Blue Grosbeak
Passerina cyanea_Indigo Bunting
Piranga rubra_Summer Tanager
Cyanocitta cristata_Blue Jay
Haemorhous mexicanus_House Finch
Spinus tristis_American Goldfinch
Agelaius phoeniceus_Red-winged Blackbird
Icterus spurius_Orchard Oriole
Molothrus ater_Brown-headed Cowbird
Sturnella magna_Eastern Meadowlark
Dumetella carolinensis_Gray Catbird
Mimus polyglottos_Northern Mockingbird
Toxostoma rufum_Brown Thrasher
Baeolophus bicolor_Tufted Titmouse
Poecile carolinensis_Carolina Chickadee
Geothlypis trichas_Common Yellowthroat
Icteria virens_Yellow-breasted Chat
Limnothlypis swainsonii_Swainson's Warbler
Mniotilta varia_Black-and-white Warbler
Parkesia motacilla_Louisiana Waterthrush
Protonotaria citrea_Prothonotary Warbler
Seiurus aurocapilla_Ovenbird
Setophaga americana_Northern Parula
Setophaga citrina_Hooded Warbler
Setophaga discolor_Prairie Warbler
Setophaga dominica_Yellow-throated Warbler
Setophaga pinus_Pine Warbler
Melospiza melodia_Song Sparrow
Pipilo erythrophthalmus_Eastern Towhee
Spizella passerina_Chipping Sparrow
Spizella pusilla_Field Sparrow
Polioptila caerulea_Blue-gray Gnatcatcher
Sitta carolinensis_White-breasted Nuthatch
Sitta pusilla_Brown-headed Nuthatch
Thryothorus ludovicianus_Carolina Wren
Troglodytes aedon_House Wren
Hylocichla mustelina_Wood Thrush
Sialia sialis_Eastern Bluebird
Turdus migratorius_American Robin
Contopus virens_Eastern Wood-Pewee
Empidonax virescens_Acadian Flycatcher
Myiarchus crinitus_Great Crested Flycatcher
Sayornis phoebe_Eastern Phoebe
Tyrannus tyrannus_Eastern Kingbird
Vireo flavifrons_Yellow-throated Vireo
Vireo griseus_White-eyed Vireo
Vireo olivaceus_Red-eyed Vireo
Colaptes auratus_Northern Flicker
Dryobates pubescens_Downy Woodpecker
Dryobates villosus_Hairy Woodpecker
Dryocopus pileatus_Pileated Woodpecker
Melanerpes carolinus_Red-bellied Woodpecker
Melanerpes erythrocephalus_Red-headed Woodpecker
