"class","order","family","genus","species","common_name","full_code"
"Aves","Apodiformes","Trochilidae","Archilochus","colubris","Ruby-throated Hummingbird","Archilochus colubris_Ruby-throated Hummingbird"
"Aves","Caprimulgiformes","Caprimulgidae","Antrostomus","carolinensis","Chuck-will's-widow","Antrostomus carolinensis_Chuck-will's-widow"
"Aves","Caprimulgiformes","Caprimulgidae","Antrostomus","vociferus","Eastern Whip-poor-will","Antrostomus vociferus_Eastern Whip-poor-will"
"Aves","Charadriiformes","Charadriidae","Charadrius","vociferus","Killdeer","Charadrius vociferus_Killdeer"
"Aves","Columbiformes","Columbidae","Zenaida","macroura","Mourning Dove","Zenaida macroura_Mourning Dove"
"Aves","Cuculiformes","Cuculidae","Coccyzus","americanus","Yellow-billed Cuckoo","Coccyzus americanus_Yellow-billed Cuckoo"
"Aves","Galliformes","Odontophoridae","Colinus","virginianus","Northern Bobwhite","Colinus virginianus_Northern Bobwhite"
"Aves","Galliformes","Phasianidae","Meleagris","gallopavo","Wild Turkey","Meleagris gallopavo_Wild Turkey"
"Aves","Passeriformes","Cardinalidae","Cardinalis","cardinalis","Northern Cardinal","Cardinalis cardinalis_Northern Cardinal"
"Aves","Passeriformes","Cardinalidae","Passerina","caerulea","Blue Grosbeak","Passerina caerulea_Blue Grosbeak"
"Aves","Passeriformes","Cardinalidae","Passerina","cyanea","Indigo Bunting","Passerina cyanea_Indigo Bunting"
"Aves","Passeriformes","Cardinalidae","Piranga","olivacea","Scarlet Tanager","Piranga olivacea_Scarlet Tanager"
"Aves","Passeriformes","Cardinalidae","Piranga","rubra","Summer Tanager","Piranga rubra_Summer Tanager"
"Aves","Passeriformes","Corvidae","Corvus","brachyrhynchos","American Crow","Corvus brachyrhynchos_American Crow"
"Aves","Passeriformes","Corvidae","Corvus","ossifragus","Fish Crow","Corvus ossifragus_Fish Crow"
"Aves","Passeriformes","Corvidae","Cyanocitta","cristata","Blue Jay","Cyanocitta cristata_Blue Jay"
"Aves","Passeriformes","Fringillidae","Haemorhous","mexicanus","House Finch","Haemorhous mexicanus_House Finch"
